Timestamp,x1,x2,x3,x4,x5,y1,y2,y3,y4,y5,rx,ry,r_yaw
1730821605165817600,7.05,-5.46,10.58,-1.22,2.33,-2.17,4.97,-5.57,2.95,0.77,6.866930850147465,-0.3162406679715848,0.5381825738918702
1730821605265801472,7.05,-5.46,10.58,-1.22,2.33,-2.18,4.97,-5.6,2.95,0.77,6.895708337775032,-0.3014929831020483,0.5337938546721586
1730821605365834496,7.05,-5.46,10.58,-1.22,2.33,-2.19,4.96,-5.63,2.95,0.77,6.934245678774948,-0.28267608411696976,0.5161878766447249
1730821605465835520,7.05,-5.46,10.58,-1.22,2.33,-2.21,4.95,-5.66,2.95,0.77,6.9567108783389635,-0.2728879193678766,0.5027868858323324
1730821605565800448,7.04,-5.46,10.58,-1.23,2.32,-2.21,4.95,-5.66,2.95,0.77,6.984610304230159,-0.25806734213624605,0.48111585793578393
1730821605665912320,7.04,-5.46,10.58,-1.23,2.32,-2.21,4.94,-5.66,2.95,0.77,7.012787388634019,-0.2440956722863452,0.4587767045391411
1730821605765831168,7.04,-5.47,10.58,-1.23,2.32,-2.21,4.94,-5.66,2.95,0.77,7.047877024729738,-0.2290852535680752,0.4278209081481624
1730821605865792512,7.04,-5.47,10.58,-1.23,2.32,-2.21,4.94,-5.66,2.95,0.77,7.068389894740186,-0.22044360923613082,0.41082890788614224
1730821605965757440,7.04,-5.47,10.58,-1.23,2.31,-2.21,4.93,-5.66,2.95,0.77,7.098318087125062,-0.20928440274003313,0.389431255044709
1730821606065757440,7.03,-5.47,10.58,-1.23,2.31,-2.21,4.93,-5.66,2.95,0.76,7.125074422204511,-0.198766308100484,0.37595455216566076
1730821606165749504,7.03,-5.47,10.58,-1.23,2.31,-2.21,4.93,-5.66,2.95,0.76,7.162651047932171,-0.1871824344824553,0.37719237007355155
1730821606265760512,7.03,-5.47,10.58,-1.23,2.3,-2.21,4.93,-5.66,2.95,0.76,7.186060091580893,-0.17823840756581344,0.38053187098796626
1730821606365760512,7.03,-5.47,10.58,-1.23,2.3,-2.21,4.92,-5.66,2.95,0.76,7.21547209330118,-0.16850368751330458,0.38242922591341855
1730821606465682432,7.02,-5.47,10.58,-1.23,2.3,-2.21,4.92,-5.66,2.95,0.76,7.251851467714232,-0.15761717042353762,0.38506343968162204
1730821606565764352,7.02,-5.47,10.58,-1.23,2.3,-2.21,4.91,-5.66,2.95,0.76,7.28825727065823,-0.14521086598464894,0.38721867971275636
1730821606665710336,7.02,-5.47,10.58,-1.23,2.3,-2.21,4.9,-5.66,2.95,0.76,7.314137622583873,-0.13608090968149833,0.3886599601327929
1730821606765667328,7.02,-5.47,10.58,-1.23,2.3,-2.21,4.9,-5.66,2.95,0.76,7.3439695046076725,-0.125841578598626,0.3902061376368633
1730821606865686528,7.02,-5.47,10.58,-1.23,2.3,-2.21,4.89,-5.65,2.95,0.76,7.375783764032471,-0.1142656400397124,0.39246929960412835
1730821606965636608,7.02,-5.47,10.58,-1.23,2.3,-2.21,4.88,-5.65,2.95,0.76,7.414680040881148,-0.10225656263560845,0.3952121438682119
1730821607065706496,7.01,-5.47,10.58,-1.23,2.3,-2.21,4.87,-5.65,2.95,0.76,7.446547597313698,-0.09137974405845029,0.39548525158368064
1730821607165603328,7.01,-5.47,10.58,-1.23,2.3,-2.21,4.86,-5.65,2.95,0.76,7.470944773826819,-0.08306514333071169,0.39555493130296093
1730821607265644544,7.01,-5.47,10.58,-1.23,2.3,-2.21,4.86,-5.64,2.95,0.76,7.503800605002171,-0.07305147139780388,0.396387371706607
1730821607365633536,7.01,-5.47,10.58,-1.23,2.3,-2.21,4.85,-5.64,2.95,0.76,7.533197209063067,-0.06280749751538517,0.3964582325899384
1730821607465663488,7.01,-5.47,10.58,-1.23,2.3,-2.21,4.84,-5.64,2.95,0.76,7.57286708191584,-0.049568207950197785,0.39712268419543695
1730821607565650432,7.01,-5.47,10.58,-1.23,2.3,-2.21,4.84,-5.64,2.95,0.76,7.597719875845744,-0.04328999976111847,0.3971223539192631
1730821607665612544,7.01,-5.47,10.58,-1.23,2.3,-2.21,4.84,-5.64,2.95,0.76,7.6283385160386565,-0.033368572322184153,0.39758721827017196
1730821607765662464,7.0,-5.47,10.58,-1.23,2.3,-2.21,4.84,-5.64,2.95,0.76,7.659998197265844,-0.025911296712031184,0.3994995493024699
1730821607865738496,7.0,-5.47,10.58,-1.23,2.3,-2.21,4.84,-5.64,2.95,0.75,7.697651109747211,-0.013953544787262517,0.4006898009228089
1730821607965694464,7.0,-5.47,10.58,-1.23,2.3,-2.21,4.84,-5.63,2.96,0.75,7.719927271928663,-0.007318772687315622,0.40233147239868416
1730821608065736192,7.0,-5.47,10.58,-1.23,2.3,-2.21,4.84,-5.63,2.96,0.75,7.753061679714973,0.0049687560098807815,0.4025928668076454
1730821608165757440,7.0,-5.47,10.58,-1.23,2.3,-2.21,4.84,-5.63,2.96,0.75,7.783644246587951,0.020637666810062294,0.4022825778818947
1730821608265760512,7.0,-5.47,10.58,-1.23,2.3,-2.21,4.84,-5.63,2.96,0.75,7.8181155578117405,0.03426023560080105,0.40277360665839546
1730821608365659136,7.0,-5.47,10.58,-1.23,2.3,-2.21,4.84,-5.63,2.96,0.75,7.84336012785624,0.04358002413594475,0.4034601118571781
1730821608465723392,6.99,-5.47,10.58,-1.23,2.3,-2.21,4.84,-5.63,2.96,0.75,7.879086306851848,0.0597126196941935,0.4042769381590142
1730821608565610496,6.99,-5.47,10.58,-1.23,2.3,-2.21,4.84,-5.63,2.96,0.75,7.911872225768473,0.07058191178705497,0.40448756861515267
1730821608665698304,6.99,-5.47,10.58,-1.23,2.3,-2.21,4.84,-5.63,2.96,0.75,7.943902680685552,0.0827324551261519,0.40419403205149507
1730821608765643264,6.99,-5.47,10.58,-1.23,2.3,-2.21,4.84,-5.63,2.96,0.75,7.977099830209486,0.09265553768580626,0.4071029433209218
1730821608865656320,6.99,-5.47,10.58,-1.23,2.3,-2.22,4.84,-5.63,2.96,0.75,8.00737049761808,0.10340820972856202,0.4083065342414961
1730821608965609216,6.99,-5.47,10.58,-1.23,2.3,-2.22,4.84,-5.63,2.96,0.75,8.040357856291767,0.1137291979122459,0.4089161959718909
1730821609065758464,6.99,-5.47,10.58,-1.23,2.3,-2.22,4.85,-5.63,2.96,0.75,8.068859772034608,0.12432812380560021,0.4038362476472921
1730821609165788416,6.98,-5.47,10.58,-1.23,2.3,-2.22,4.85,-5.63,2.96,0.75,8.091855656476746,0.13278379998726875,0.3932807460724641
1730821609265729536,6.98,-5.47,10.58,-1.24,2.3,-2.22,4.85,-5.63,2.96,0.75,8.130471089334923,0.14871711217496486,0.361148942219942
1730821609365649408,6.98,-5.47,10.58,-1.24,2.3,-2.22,4.85,-5.63,2.96,0.75,8.158898610122534,0.15805882943838112,0.3331483129963656
1730821609465749504,6.98,-5.47,10.58,-1.24,2.3,-2.22,4.85,-5.63,2.96,0.75,8.188526928054499,0.16719753425074613,0.30442145965674805
1730821609565670400,6.98,-5.47,10.58,-1.24,2.3,-2.22,4.85,-5.63,2.96,0.75,8.217506701948357,0.17530543464144221,0.2798661994960374
1730821609665683456,6.98,-5.47,10.58,-1.24,2.3,-2.22,4.85,-5.63,2.96,0.75,8.245664497150509,0.18194793070061133,0.2651002239811595
1730821609765680384,6.98,-5.47,10.58,-1.24,2.3,-2.22,4.85,-5.63,2.96,0.74,8.27718400695824,0.18750086204138983,0.2662623558137869
1730821609865663232,6.97,-5.47,10.58,-1.24,2.3,-2.22,4.85,-5.63,2.96,0.74,8.307290516062984,0.19257201136635915,0.26829236855784266
1730821609965724416,6.97,-5.47,10.58,-1.24,2.3,-2.22,4.85,-5.63,2.96,0.74,8.335893589955248,0.1947628318922221,0.27162014316321065
1730821610065720320,6.97,-5.47,10.58,-1.24,2.3,-2.22,4.85,-5.63,2.96,0.74,8.361370610656119,0.1989272512410749,0.2718664174120412
1730821610165643520,6.97,-5.47,10.58,-1.24,2.3,-2.22,4.85,-5.63,2.96,0.74,8.393154411223852,0.2027899970493161,0.27392105599263694
1730821610265822464,6.97,-5.47,10.58,-1.24,2.3,-2.22,4.85,-5.63,2.96,0.74,8.430912517259591,0.2087268774432003,0.27610096523184874
1730821610365785600,6.97,-5.47,10.58,-1.24,2.3,-2.22,4.85,-5.63,2.96,0.74,8.46287357313588,0.21316251254347307,0.2772907058240377
1730821610465650432,6.97,-5.47,10.58,-1.24,2.3,-2.22,4.85,-5.63,2.96,0.74,8.496367147497145,0.22175716935358558,0.27528841297479895
1730821610565726464,6.96,-5.47,10.58,-1.24,2.3,-2.22,4.85,-5.62,2.96,0.74,8.519046333482198,0.22537587276762272,0.27618380000865345
1730821610665735424,6.96,-5.47,10.58,-1.24,2.3,-2.22,4.85,-5.62,2.96,0.74,8.550860112236045,0.23086028938779757,0.2775384748812855
1730821610765712384,6.96,-5.47,10.58,-1.24,2.3,-2.22,4.85,-5.62,2.96,0.74,8.58998005657089,0.23681241957335564,0.2789684430242173
1730821610865746432,6.96,-5.47,10.58,-1.24,2.3,-2.22,4.85,-5.62,2.96,0.74,8.6221838695741,0.24338819808515044,0.27843039758433724
1730821610965760512,6.96,-5.47,10.58,-1.24,2.3,-2.22,4.85,-5.62,2.96,0.74,8.655776616830918,0.24959684333655607,0.2778649103872686
1730821611065704448,6.96,-5.47,10.58,-1.24,2.3,-2.22,4.85,-5.62,2.96,0.74,8.679618058644232,0.2573799557384264,0.27582454989329125
1730821611165624320,6.96,-5.47,10.58,-1.24,2.3,-2.22,4.85,-5.62,2.96,0.74,8.720460834939116,0.2665211720402514,0.27460809000508485
1730821611265620480,6.95,-5.47,10.58,-1.24,2.3,-2.22,4.85,-5.62,2.96,0.74,8.753020149776095,0.275860247255316,0.2729397800916529
1730821611365671424,6.95,-5.47,10.58,-1.24,2.3,-2.22,4.85,-5.62,2.96,0.74,8.784506506159005,0.285762193569012,0.2718241469655148
1730821611465728256,6.95,-5.47,10.58,-1.24,2.3,-2.22,4.85,-5.62,2.96,0.74,8.809337201394676,0.2922070441902789,0.27128979230930633
1730821611565805312,6.95,-5.47,10.58,-1.24,2.3,-2.22,4.86,-5.62,2.97,0.73,8.841613527670708,0.3017485524393164,0.26842112726924705
